red,green,blue,off,position,color
472,245,541,4,1,blue
476,155,470,12,2,blue
612,421,669,23,3,blue
520,343,298,130,4,red
665,424,388,24,5,red
710,220,175,6,6,red
769,356,326,3,7,red
564,315,780,0,8,green
573,164,582,0,9,green
595,275,609,9,10,green
421,170,470,63,11,green
696,232,653,3,12,yellow
686,195,637,5,13,yellow
543,121,575,16,14,yellow
675,194,606,39,15,yellow
412,140,361,1,0,blue
472,246,541,4,1,blue
475,155,469,13,2,blue
612,421,669,23,3,blue
519,342,297,131,4,red
665,425,388,24,5,red
715,225,179,1,6,red
768,356,326,3,7,red
565,315,781,0,8,green
573,162,581,1,9,green
595,274,610,9,10,green
423,172,472,61,11,green
693,230,651,4,12,yellow
686,195,636,5,13,yellow
545,124,576,15,14,yellow
668,185,600,46,15,yellow
413,141,361,0,0,blue
471,245,539,5,1,blue
477,155,470,12,2,blue
616,424,672,20,3,blue
518,341,296,132,4,red
661,420,384,28,5,red
712,224,178,3,6,red
768,357,327,2,7,red
564,315,779,0,8,green
573,164,581,0,9,green
593,273,607,11,10,green
423,173,472,61,11,green
694,232,652,3,12,yellow
686,195,637,5,13,yellow
544,122,576,15,14,yellow
674,192,605,40,15,yellow
411,138,360,2,0,blue
474,247,542,2,1,blue
477,156,470,12,2,blue
613,421,669,23,3,blue
519,342,297,131,4,red
666,425,388,24,5,red
714,224,178,2,6,red
767,354,324,5,7,red
565,315,780,0,8,green
574,163,582,0,9,green
594,274,610,9,10,green
423,172,472,61,11,green
694,230,650,4,12,yellow
686,196,637,4,13,yellow
544,124,576,15,14,yellow
672,188,603,42,15,yellow
644,100,532,2,0,yellow
672,189,659,8,1,yellow
677,122,597,16,2,yellow
753,338,725,26,3,yellow
448,368,309,126,4,blue
577,449,394,24,5,blue
520,271,184,3,6,blue
594,393,326,1,7,blue
724,308,733,0,8,red
703,160,518,0,9,red
682,264,570,10,10,red
515,164,429,66,11,red
531,227,577,0,12,green
517,192,562,5,13,green
389,126,497,13,14,green
591,190,580,35,15,green
644,100,531,2,0,yellow
675,190,661,6,1,yellow
677,122,600,14,2,yellow
749,336,723,28,3,yellow
447,367,308,126,4,blue
579,451,396,21,5,blue
519,271,183,3,6,blue
590,390,323,4,7,blue
725,309,731,0,8,red
