red,green,blue,off,position,color
703,267,570,8,10,red
569,173,452,51,11,red
487,204,497,0,12,green
478,174,504,4,13,green
360,118,480,9,14,green
593,186,583,28,15,green
641,92,536,2,0,yellow
682,184,667,4,1,yellow
718,123,645,9,2,yellow
788,345,753,21,3,yellow
474,395,319,104,4,blue
588,462,388,13,5,blue
510,275,171,0,6,blue
577,389,315,3,7,blue
712,279,731,0,8,red
720,153,519,0,9,red
701,266,570,8,10,red
566,172,451,52,11,red
484,200,496,2,12,green
480,175,507,1,13,green
359,117,480,9,14,green
590,184,580,31,15,green
642,92,537,1,0,yellow
682,184,667,4,1,yellow
715,120,641,12,2,yellow
791,349,756,18,3,yellow
474,395,320,104,4,blue
588,462,388,13,5,blue
510,275,172,0,6,blue
578,392,318,1,7,blue
712,278,732,0,8,red
720,150,519,1,9,red
703,267,570,8,10,red
567,172,451,52,11,red
483,200,495,3,12,green
479,174,507,2,13,green
359,117,481,9,14,green
595,189,586,26,15,green
643,91,537,1,0,yellow
682,184,666,5,1,yellow
718,122,643,10,2,yellow
792,349,757,17,3,yellow
474,395,320,104,4,blue
587,461,387,14,5,blue
510,274,170,1,6,blue
580,392,317,0,7,blue
713,277,733,0,8,red
720,150,519,1,9,red
701,265,569,9,10,red
566,172,451,53,11,red
485,203,497,1,12,green
479,175,506,2,13,green
356,114,477,12,14,green
592,185,583,29,15,green
640,89,534,4,0,yellow
684,185,668,3,1,yellow
718,123,645,9,2,yellow
793,349,758,17,3,yellow
474,395,320,104,4,blue
590,462,390,12,5,blue
511,275,172,0,6,blue
580,392,318,1,7,blue
713,279,732,0,8,red
721,151,520,0,9,red
702,266,570,8,10,red
570,174,454,50,11,red
484,199,495,3,12,green
480,175,506,2,13,green
360,117,480,9,14,green
595,188,584,27,15,green
644,93,538,0,0,yellow
683,186,667,4,1,yellow
716,121,643,11,2,yellow
791,348,755,18,3,yellow
475,395,320,104,4,blue
590,463,389,12,5,blue
507,271,167,4,6,blue
580,392,318,0,7,blue
713,278,732,0,8,red
721,152,520,0,9,red
703,268,571,7,10,red
567,172,450,53,11,red
486,202,497,1,12,green
478,173,505,4,13,green
357,113,477,12,14,green
594,185,584,28,15,green
642,91,536,2,0,yellow
682,184,667,4,1,yellow
721,125,647,7,2,yellow
792,349,757,17,3,yellow
474,395,320,104,4,blue
589,462,389,13,5,blue
509,274,172,2,6,blue
579,392,318,1,7,blue
711,278,732,0,8,red
720,149,518,2,9,red
704,267,571,7,10,red
568,172,451,52,11,red
486,202,497,1,12,green
479,173,506,3,13,green
360,117,481,9,14,green
593,187,583,29,15,green
644,93,533,2,0,yellow
680,186,669,4,1,yellow
711,121,636,11,2,yellow
798,350,763,17,3,yellow
475,404,327,104,4,blue
589,458,388,13,5,blue
510,268,169,1,6,blue
579,391,314,1,7,blue
701,278,733,0,8,red
723,150,518,2,9,red
701,266,570,8,10,red
566,174,453,50,11,red
480,191,484,1,12,green
479,179,506,3,13,green
358,112,476,10,14,green
590,187,578,30,15,green
643,92,533,2,0,yellow
679,187,668,4,1,yellow
713,123,638,9,2,yellow
795,348,760,19,3,yellow
476,405,328,103,4,blue
589,458,388,12,5,blue
510,267,171,0,6,blue
576,386,311,4,7,blue
701,275,734,0,8,red
726,151,520,0,9,red
701,264,571,8,10,red
566,174,453,50,11,red
478,188,482,3,12,green
480,181,508,2,13,green
357,112,476,10,14,green
590,188,578,30,15,green
643,92,534,2,0,yellow
679,184,668,4,1,yellow
713,122,638,9,2,yellow
795,348,760,19,3,yellow
475,404,327,104,4,blue
588,457,387,13,5,blue
510,268,172,0,6,blue
576,387,312,3,7,blue
701,277,733,0,8,red
725,151,520,0,9,red
701,264,570,8,10,red
564,171,451,52,11,red
479,189,482,2,12,green
481,180,508,1,13,green
358,112,477,9,14,green
593,188,581,27,15,green
645,93,535,1,0,yellow
681,186,670,3,1,yellow
711,120,636,11,2,yellow
797,350,763,17,3,yellow
476,404,327,104,4,blue
588,457,387,14,5,blue
508,265,167,3,6,blue
580,390,315,0,7,blue
700,276,733,0,8,red
724,150,520,1,9,red
701,265,570,8,10,red
564,173,450,52,11,red
480,192,484,1,12,green
479,179,507,3,13,green
356,109,474,12,14,green
591,186,578,30,15,green
640,91,531,5,0,yellow
680,185,669,4,1,yellow
712,121,637,10,2,yellow
796,348,761,19,3,yellow
476,405,328,103,4,blue
589,458,389,12,5,blue
510,268,170,0,6,blue
577,388,312,2,7,blue
700,276,733,0,8,red
724,153,520,0,9,red
701,265,570,8,10,red
564,171,451,52,11,red
480,191,485,0,12,green
479,178,507,3,13,green
358,112,477,9,14,green
591,188,579,29,15,green
641,92,532,4,0,yellow
680,184,668,4,1,yellow
713,123,638,9,2,yellow
798,351,763,17,3,yellow
476,405,328,103,4,blue
589,458,387,13,5,blue
508,265,168,2,6,blue
578,389,314,1,7,blue
701,276,733,0,8,red
724,153,520,0,9,red
700,266,570,8,10,red
565,171,451,52,11,red
478,188,482,3,12,green
479,177,507,3,13,green
356,109,475,11,14,green
591,186,580,29,15,green
643,92,534,2,0,yellow
679,185,668,4,1,yellow
711,123,636,10,2,yellow
797,350,761,17,3,yellow
475,404,327,104,4,blue
588,456,387,14,5,blue
510,267,170,0,6,blue
578,389,314,1,7,blue
700,276,733,0,8,red
726,150,519,1,9,red
701,264,571,8,10,red
563,171,451,52,11,red
477,188,482,3,12,green
480,180,508,2,13,green
356,113,476,10,14,green
588,187,577,31,15,green
644,94,535,1,0,yellow
679,184,668,5,1,yellow
715,123,639,8,2,yellow
796,348,760,19,3,yellow
475,404,327,104,4,blue
588,458,388,13,5,blue
510,266,169,1,6,blue
579,389,314,1,7,blue
700,276,731,0,8,red
727,152,520,0,9,red
702,266,572,7,10,red
565,172,452,51,11,red
481,191,485,0,12,green
479,179,507,3,13,green
358,112,477,9,14,green
589,186,578,30,15,green
642,92,534,2,0,yellow
679,186,668,4,1,yellow
711,122,637,10,2,yellow
798,350,762,17,3,yellow
